review,rating
Ik heb meerdere keren problemen gehad bij thuisbezorgd wat betreft eten waarvan ik ziek ben geworden maar geen geld terug heb gekregen. De klantenservice reageert niet meer dus heb ik mijn geld terug weten te krijgen via paypal. Maar vanaf nu ga ik niet meer bestellen bij hun want hun refund regeling is echt ruk!,1
"Wordt er moe van; je bestelt iets, dat gaat ok, maar de helft wordt maar gebracht. Of het is bagger En dan moet je het verder maar uitzoeken...",1
"Drie berichten gestuurd, nul reactie, geen geld terug na annulering. Ik 33 euro kwijt en Thuisbezorgd een goede klant.Als Thuisbezorgd hier wel op reageert zou dan prettig zijn, 33 euro is (voor mij iig) best veel geld en ik baal behoorlijk.Antwoord op de reactie: waar denken jullie dan dat de eerste drie berichten heen zijn gegaan? 😕Update: als je ""naar aanleiding van klacht Trustpilot"" in de titel zet krijg je binnen een kwartier reactie en binnen een dag je geld terug. Ik ben blij dat ik mijn geld terug heb, maar het lijkt erop dat je genegeerd wordt totdat je hier of op Facebook o.i.d. klaagt.",2
"Ik ben al meer dan een maand bezig met thuisbezorgd.nl om mijn betaalde geld retour te krijgen. Tot 2x toe een klacht via de site ingediend van missende item bij bestelling. Ik zou graag mijn geld terug willen. Geen gehoor, geen reactie en geen geld retour. Ook het restaurant in kwestie stuurt mij doodleuk terug naar thuisbezorgd. En laatstgenoemde blijft erg stil, laat niks van zich weten. Heel erg slecht dit!!",1
"We Hebben hier vandaag bij babylon in Purmerend besteld, 2 calzones. Bestelling vrij snel bezorgd. Blijkt de ene calzone met kip nogal bedorven en penetrante lucht. (Ben zelf een chef, weet waar ik over praat). De andere calzone had ook een raar luchtje en er is niets van gegeten. Restaurant gebeld, uitgelegt en ze zouden het opnieuw maken en een oprechte sorry. Vervolgens 1,5 uur gewacht (drukste moment op vrijdag, ben kok begrijp het nog!). Na die tijd gebeld, waren ze niet bekend met de bestelling. Weer uitgelegd dat het niet goed was. Toen begon de grap: het was nu niet meer mogelijk om de bestelling te krijgen en hielt het morgen wel tegoed. Weg 35 euro, wilde me geld terug. Belde met thuisbezorgd, die weer met hun bellen over terug betalen. Hun wilde de terugbetaling niet sturen. Weg je geld. Hier bestel ik niet meer bij die geldjattende viezerikken.",1
"Helaas geen 'beregoede' ervaring... Op 25 februari hebben we twee burgers besteld van de Bezorgbeer. Om 18:40 kwam er een SMS waarin stond dat er binnen 24 minuten geleverd zou worden. Top! Om 19:37 heb ik gebeld met de vraag waar de bestelling bleef, deze zou volgens de medewerker van de Bezorgbeer binnen 10 minuten geleverd worden. Uiteindelijk werd er om 19:54 aangebeld. Dat is toch 50 minuten later dan beloofd :-( Ondertussen regelmatig op 'volg je bestelling' gekeken maar die functionaliteit voegt echt niets toe, daar stond onder een Google Maps kaartje alleen dat er 'zo snel mogelijk' geleverd zou worden.Voordeel was dat we intussen wel berehonger hadden maar helaas, de bestelling en zeker de friet werd lauw geleverd. In een restaurant hadden we dit echt teruggestuurd.Al met al voor ons niet voor herhaling vatbaar.",2
"Wat een slechte service!!! Op 20 januari 2021 een bestelling gedaan maar niet ontvangen. Restaurant wilde volgende dag leveren. Niet akkoord gegaan, zou mijn geld teruggestuurd krijgen. Het is nu 24 februari, contact met restaurant en thuis bezorgd gehad (meerdere keren) maar nog geen geld gezien. Thuisbezorgd beloofd steeds binnen 10 werkdagen te storten, mijn geduld is op. Tijd voor een aangifte wegens verduistering denk ik.",1
Restaurant Cairo Alphen-aan-den-rijn Superlekkere taart hier! Alle smaken zijn echt een aanrader!,4
"Zondag zouden wij Sushi laten bezorgen. Half zes de order ingegeven en het zou half zeven besteld worden. Half acht nog niets. Bedrijf heeft twee telefoonnummers maar niet te bereiken. Op de app stond al een tijdje dat de bezorger er bijna was. Via de review zagen we al dat meerdere mensen dit probleem hadden. Uiteindelijk om acht uur maar een broodje gesmeerd (kinderen moesten toch ook naar bed). Rond half negen stond er zelfs op de app dat de bestelling was afgeleverd. Om 21.00 gebeld door I love Sushi Hoofddorp of het klopte dat we een bestelling hadden geplaatst en dat het heel druk was geweest.Vervolgens een, naar mijn mening, een nette review geplaatst met daarin o.a. de tekst dat het schandalig is dat Thuisbezorgd.nl platform geeft aan dit soort bedrijven die niet leveren en niet te bereiken zijn. Dit omdat het al eerder was gebeurt. Dag later was de review weg. Reactie van Thuisbezorgd: Wij hebben uw recensie helaas moeten verbergen daar deze niet in overeenstemming is met ons reglement.De waarheid mag volgens mij niet gezegd worden.....en ze willen het kaf blijkbaar niet van het koren scheiden. Ander kan ik het niet maken.",1
"Mijn bestelling is nooit aangekomen en de bezorger beweerde dat die 20 minuten voor de deur zou hebben gewacht. Ik heb niemand gezien of gehoord. Ik heb mijn bestelling gevolgd en ik heb daar bijna 2 uur op gewacht tot ik plots ""geannuleerd"" op het scherm zag verschijnen.Ik heb contact opgenomen met Thuisbezorgd en er werd mij verteld dat ze niks voor mij kunnen betekenen. ""Je bent je geld kwijt en je bestelling gaat niet door"". Ze geloven de bezorger en wat je te vertellen hebt interesseert ze niet. Belachelijk!",1
